,Utility Name,Plant Code,Plant Name,Generator ID,Technology,Ownership,Plant Balance,Owner #0,% Owned #0,Owner #1,% Owned #1,Owner #2,% Owned #2,Owner #3,% Owned #3,Owner #4,% Owned #4,Owner #5,% Owned #5,Owner #6,% Owned #6,Owner #7,% Owned #7,Owner #8,% Owned #8,Owner #9,% Owned #9,Owner #10,% Owned #10,Owner #11,% Owned #11,Owner #12,% Owned #12,Owner #13,% Owned #13,Owner #14,% Owned #14
6688,Talen Montana LLC,6076.0,Colstrip,4,Conventional Steam Coal,J,7459.2,NorthWestern Energy LLC - (MT),0.3,PacifiCorp,0.1,Portland General Electric Co,0.2,Puget Sound Energy Inc,0.25,Avista Corp,0.15,,,,,,,,,,,,,,,,,,,,
6739,Otter Tail Power Co,6098.0,Big Stone,1,Conventional Steam Coal,J,7125552.5,Montana-Dakota Utilities Co,0.227,NorthWestern Energy - (SD),0.234,Otter Tail Power Co,0.539,,,,,,,,,,,,,,,,,,,,,,,,
6746,PacifiCorp,6101.0,Wyodak,1,Conventional Steam Coal,J,12884520.4,PacifiCorp,0.8,"Black Hills Power, Inc. d/b/a",0.2,,,,,,,,,,,,,,,,,,,,,,,,,,
6751,Portland General Electric Co,6106.0,Boardman,1,Conventional Steam Coal,J,128465950.2,Idaho Power Co,0.1,Portland General Electric Co,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,
6763,"Duke Energy Indiana, LLC",6113.0,Gibson,5,Conventional Steam Coal,J,20159112.6,Indiana Municipal Power Agency,0.2495,"Duke Energy Indiana, LLC",0.5005,"Wabash Valley Power Assn, Inc",0.25,,,,,,,,,,,,,,,,,,,,,,,,
6817,Southern Indiana Gas & Elec Co,6137.0,A B Brown,1,Conventional Steam Coal,S,16988002.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6821,Southwestern Electric Power Co,6138.0,Flint Creek,1,Conventional Steam Coal,J,0.0,Arkansas Electric Coop Corp,0.5,Southwestern Electric Power Co,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
6822,Southwestern Electric Power Co,6139.0,Welsh,1,Conventional Steam Coal,S,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6899,PacifiCorp,6165.0,Hunter,1,Conventional Steam Coal,J,28087813.7,PacifiCorp,0.9375,Provo City Corp,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,
6902,Indiana Michigan Power Co,6166.0,Rockport,1,Conventional Steam Coal,J,0.0,AEP Generating Company,0.35,Indiana Michigan Power Co,0.5,Kentucky Power Co,0.15,,,,,,,,,,,,,,,,,,,,,,,,
6903,Indiana Michigan Power Co,6166.0,Rockport,2,Conventional Steam Coal,J,0.0,AEP Generating Company,0.35,Indiana Michigan Power Co,0.5,Kentucky Power Co,0.15,,,,,,,,,,,,,,,,,,,,,,,,
6913,Wisconsin Electric Power Co,6170.0,Pleasant Prairie,1,Conventional Steam Coal,S,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6914,Wisconsin Electric Power Co,6170.0,Pleasant Prairie,2,Conventional Steam Coal,S,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7019,Duke Energy Progress - (NC),6250.0,Mayo,1,Conventional Steam Coal,S,35687324.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7027,Interstate Power and Light Co,6254.0,Ottumwa,1,Conventional Steam Coal,J,17955997.1,Interstate Power and Light Co,0.48,MidAmerican Energy Co,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,
